well_ID,Reaction_ID,analyte_smiles,analyte_class,data_entry,data_type,data_units,data_description
D2,SOCS2A-478-RP3573-11,Cc1cc(-c2sccc2C)n[nH]1,desired product,71531.0,Area Absolute,AU,LCMS UV Peak absolute area
D2,SOCS2A-478-RP3573-11,Impurity0,impurity,1.165,Retention Time,min,Time at which compound elutes
D2,SOCS2A-478-RP3573-11,Impurity0,impurity,0,ES+,Da/Q,Positive m/z
D2,SOCS2A-478-RP3573-11,Impurity0,impurity,0,ES-,Da/Q,Negative m/z
D2,SOCS2A-478-RP3573-11,Impurity0,impurity,0.244,Percentage Area,%,LCMS UV Peak percentage area
D2,SOCS2A-478-RP3573-11,Impurity0,impurity,2951.0,Area Absolute,AU,LCMS UV Peak absolute area
D2,SOCS2A-478-RP3573-11,Impurity2,impurity,1.56,Retention Time,min,Time at which compound elutes
D2,SOCS2A-478-RP3573-11,Impurity2,impurity,0,ES+,Da/Q,Positive m/z
D2,SOCS2A-478-RP3573-11,Impurity2,impurity,0,ES-,Da/Q,Negative m/z
D2,SOCS2A-478-RP3573-11,Impurity2,impurity,0.18,Percentage Area,%,LCMS UV Peak percentage area
D2,SOCS2A-478-RP3573-11,Impurity2,impurity,2184.0,Area Absolute,AU,LCMS UV Peak absolute area
D2,SOCS2A-478-RP3573-11,Impurity4,impurity,1.749,Retention Time,min,Time at which compound elutes
D2,SOCS2A-478-RP3573-11,Impurity4,impurity,0,ES+,Da/Q,Positive m/z
D2,SOCS2A-478-RP3573-11,Impurity4,impurity,0,ES-,Da/Q,Negative m/z
D2,SOCS2A-478-RP3573-11,Impurity4,impurity,22.835,Percentage Area,%,LCMS UV Peak percentage area
D2,SOCS2A-478-RP3573-11,Impurity4,impurity,276423.0,Area Absolute,AU,LCMS UV Peak absolute area
D2,SOCS2A-478-RP3573-11,Impurity5,impurity,2.038,Retention Time,min,Time at which compound elutes
D2,SOCS2A-478-RP3573-11,Impurity5,impurity,0,ES+,Da/Q,Positive m/z
D2,SOCS2A-478-RP3573-11,Impurity5,impurity,0,ES-,Da/Q,Negative m/z
D2,SOCS2A-478-RP3573-11,Impurity5,impurity,0.933,Percentage Area,%,LCMS UV Peak percentage area
D2,SOCS2A-478-RP3573-11,Impurity5,impurity,11299.0,Area Absolute,AU,LCMS UV Peak absolute area
D2,SOCS2A-478-RP3573-11,Impurity6,impurity,2.136,Retention Time,min,Time at which compound elutes
D2,SOCS2A-478-RP3573-11,Impurity6,impurity,0,ES+,Da/Q,Positive m/z
D2,SOCS2A-478-RP3573-11,Impurity6,impurity,0,ES-,Da/Q,Negative m/z
D2,SOCS2A-478-RP3573-11,Impurity6,impurity,67.533,Percentage Area,%,LCMS UV Peak percentage area
D2,SOCS2A-478-RP3573-11,Impurity6,impurity,817513.0,Area Absolute,AU,LCMS UV Peak absolute area
